,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Unnamed: 0,image_url,in_reply_to_screen_name,location
0,Sun Mar 17 06:38:07 +0000 2024,"1,76925E+18",INFO Star Safety Bersama Universitas Insan Budi Utomo dll seluru wilayah indonesia  Dengan program siap kerja kerja sama dengan perusahan Nasional dan Internasional   https://t.co/4IY4hpL3VB https://t.co/jl4OEMIfV8 https://t.co/4wQ771iG5Y https://t.co/wSv7il8rrB,0,0,0,0,in,"1,70346E+18","1,76925E+18",BppnIkn37632,https://twitter.com/BppnIkn37632/status/1769251854775615925,,,,
1,Sun Mar 17 06:37:51 +0000 2024,"1,76925E+18",INFO Star Safety Bersama Universitas Insan Budi Utomo dll seluru wilayah indonesia  Dengan program siap kerja kerja sama dengan perusahan Nasional dan Internasional   https://t.co/4IY4hpL3VB https://t.co/jl4OEMIfV8 https://t.co/4wQ771iG5Y,0,0,0,0,in,"1,70346E+18","1,76925E+18",BppnIkn37632,https://twitter.com/BppnIkn37632/status/1769251784680489449,,,,
2,Sun Mar 17 06:37:40 +0000 2024,"1,76925E+18",INFO Star Safety Bersama Universitas Insan Budi Utomo dll seluru wilayah indonesia  Dengan program siap kerja kerja sama dengan perusahan Nasional dan Internasional   https://t.co/4IY4hpL3VB https://t.co/jl4OEMIfV8 https://t.co/4wQ771iG5Y,0,0,0,0,in,"1,70346E+18","1,76925E+18",BppnIkn37632,https://twitter.com/BppnIkn37632/status/1769251739155464375,,,,
3,Sun Mar 17 02:18:39 +0000 2024,"1,76919E+18",@pro_gibran_ Semoga program yang di bawa akan sangat membantu para generasi muda indonesia,0,0,0,0,in,"1,71979E+18","1,76889E+18",ikn_merdeka,https://twitter.com/ikn_merdeka/status/1769186554990432440,,,,
4,Sat Mar 16 17:13:23 +0000 2024,"1,76905E+18","@MurtadhaOne1 IKN adalah Program Penjajah, dan tiap warga negara yang mendukung = IPK 2.3, atau minimal Tolo.. *sebagian teks diculik*",0,0,0,0,in,"1,56371E+18","1,76881E+18",RadenAjeng_Ei,https://twitter.com/RadenAjeng_Ei/status/1769049335000699340,,,,
5,Sat Mar 16 08:19:32 +0000 2024,"1,76891E+18",@gen_gibran Alhamdulillah Mungkin Krn Prabowo-Gibran berkomitmen meneruskan program pembangunan IKN,0,0,0,0,in,"1,75994E+18","1,7689E+18",8angher,https://twitter.com/8angher/status/1768914988629123143,,,,
6,Sat Mar 16 05:29:00 +0000 2024,"1,76887E+18",@AgusYudhoyono Dulu menentang habis habisan program pembangunan IKN...makanya mas @AgusYudhoyono  jangan suka ikut gerombolan KADRUN...keturaran begonya...,0,0,0,0,in,"1,58669E+18","1,76337E+18",adichrissaputra,https://twitter.com/adichrissaputra/status/1768872070417695169,,,,
7,Sat Mar 16 02:46:43 +0000 2024,"1,76883E+18","@Miduk17 That's why gw agak ga setuju sama program IKN. Banyak yg harus dikorbankan, dan korbannya ya orang2 kecil. Misal emang mau dipindah ibu kotanya karna alasan Jakarta udh ga memadai, sering banjir, dll, kenapa ga pindah ke kota yg udah jadi aja?",0,0,0,0,in,"1,75123E+18","1,76826E+18",justblabering,https://twitter.com/justblabering/status/1768831229892382724,,,,
8,Sat Mar 16 02:27:35 +0000 2024,"1,76883E+18","@detikcom lah berarti program nya pak anies cocok dong? ngerjain IKN gak perlu kebut2an anggaran, krn  jangka panjang pengerjaannya itu,, sesuai statement ini malah 100 tahun 😰",0,0,0,0,in,284095204,"1,76848E+18",harisnu,https://twitter.com/harisnu/status/1768826414831395157,,,,
9,Sat Mar 16 00:32:10 +0000 2024,"1,7688E+18",@tempodotco Tanyai  ke @gibran_tweet aja kan dia tau wo g itu program bapaknya dan dia mendukung IKN dilanjutkan.,0,0,0,0,in,195276200,"1,76848E+18",tantu_panggelar,https://twitter.com/tantu_panggelar/status/1768797370526175303,,,,
10,Fri Mar 15 23:54:55 +0000 2024,"1,76879E+18","Loh2, Warga Kalimantan Timur kan pendukung tertinggi 02 kan y? Kalau sudah ada kesepakatan ganti rugi, harusnya dukung IKN &amp  menerima penggusuran demi pembangunan IKN dong ya? ALL IN masa setengah2? Konsisten dong, dukung sepenuhny program Jokowi yg dilanjutkan Prabowo!💪🤭 https://t.co/R9U2N10IOy",0,0,1,2,in,"1,55934E+18","1,76879E+18",el_in_me,https://twitter.com/el_in_me/status/1768787996084699408,,,,
11,Fri Mar 15 20:25:32 +0000 2024,"1,76874E+18","Karna mayoritas masyarakat memilih keberlanjutan, ya terima aja program yg mereka tentukan.  Disuruh angkat kaki demi IKN dalam wkt 7 hari &amp  ga dikasih solusi? Ya terima aja, kan sudah dipilih",0,0,0,0,in,"9,59973E+17","1,76874E+18",saisyaaa__,https://twitter.com/saisyaaa__/status/1768735304473546758,,,,
12,Fri Mar 15 14:19:09 +0000 2024,"1,76864E+18","@routterdamn @Ricz_sky @gentrifybimbo @leksicunt Pajak dinaikan, bbm subsidi dihilangkan, listrik dinaikan. Itu demi apa? Demi program IKN yang sebelumnya gak pernah ada dalam janji jokowi dipemilu 2019. Terlalu terburu² pelaksanaannya ..",0,2,0,10,in,"1,50745E+18","1,76829E+18",dkrsdi,https://twitter.com/dkrsdi/status/1768643098643714528,,,,
13,Fri Mar 15 12:53:15 +0000 2024,"1,76862E+18",@mimih6mei Kemenangan ini membuktikan bahwa pesan dan program politik Prabowo-Gibran berhasil menyentuh hati rakyat Indonesia,0,0,0,0,in,"1,70226E+18","1,76854E+18",dm_4bby,https://twitter.com/dm_4bby/status/1768621484409544771,,,,
14,Fri Mar 15 09:46:15 +0000 2024,"1,76857E+18","@DokterTifa Yg penting JOGET aja dl, ya ngga warga deket IKN...di ajak utk Perubahan ngga mau..malah mau program lanjutan, akhirnya ya kena gusur, jd ya nikmati aja pilihannya. IKN hanya utk horang kayah, klo kaum mendang mending mana bisa masuk ke IKN. Milihny 02, tp kena gusur..Rugi dong",0,0,0,1,in,300146608,"1,7685E+18",Wahyudi1707,https://twitter.com/Wahyudi1707/status/1768574422888464486,,,,
15,Fri Mar 15 08:37:13 +0000 2024,"1,76856E+18","@ebe_ganzo @tempodotco Ga ngurusin capres, tp apa yg mereka pilih refleksi apa yg akan mereka dapat, krn mereka mendukung sepenuhnya program IKN, salah satu nya menggusir kampung mereka",0,0,0,4,in,420220839,"1,76848E+18",mydayat,https://twitter.com/mydayat/status/1768557049431093609,,,,
16,Fri Mar 15 07:17:37 +0000 2024,"1,76854E+18","Dalam upaya menyukseskan target capaian @kem_atrbpn di tahun 2024. Pagi ini, saya melakukan koordinasi lanjutan dengan @KemenkeuRI. Membahas program utama Kementerian ATR/BPN seperti: PTSL, Sertifikasi Tanah, RDTR IKN &amp  Operasi Pemberantasan Mafia Tanah. Ke depan, program-program… https://t.co/ZVV7w7MijB",1,55,67,358,in,842986784,"1,76854E+18",AgusYudhoyono,https://twitter.com/AgusYudhoyono/status/1768537016743190687,,,,
17,Fri Mar 15 07:02:41 +0000 2024,"1,76853E+18",Awalnya aku simpati ke warga kalimantan yg digusur2 krn program ikn. Tapi mereka memilih jalan mereka sendiri. Silakan lanjutkan program jok0wisme yg kalian pilih. https://t.co/8dgAyt3Iwf,0,0,0,0,in,"1,75161E+18","1,76853E+18",angkatanthn2020,https://twitter.com/angkatanthn2020/status/1768533259401740501,,,,
18,Fri Mar 15 04:37:19 +0000 2024,"1,7685E+18","@SoeTjenMarching Karena APBNnya gak kuat buat program fantastis kayak IKN dan makan siang gratis jadi cari modal dulu, sediih memang jadi rakyat di negeri ini",0,0,0,0,in,"1,55824E+18","1,76818E+18",dera_hehe,https://twitter.com/dera_hehe/status/1768496676518637893,,,,
19,Fri Mar 15 03:33:36 +0000 2024,"1,76848E+18","@pro_gibran_ Program dari pak prabowo dan mas gibran di sambut hanggat pak bas, senior per proyekan",0,0,0,0,in,"1,71979E+18","1,76828E+18",ikn_merdeka,https://twitter.com/ikn_merdeka/status/1768480640788505017,,,,
20,Fri Mar 15 01:58:28 +0000 2024,"1,76846E+18","@gonukteknik mungkin dia belum lihat IKN dala frame yang lebih besar, zel. gua dulu juga pengen ke IKN, daftar MSIB ke sana malah. terus sekarang jadi ngerti IKN itu cuma program jelek",0,1,0,0,in,"1,59391E+18","1,7684E+18",middnightblu,https://twitter.com/middnightblu/status/1768456701634842713,,,,
21,Fri Mar 15 01:44:54 +0000 2024,"1,76845E+18","@tiyaszzz @whereiskar @dayatpiliang maap kak kok bisa suami istri beda pilihan apa gk ada diskusi gitu, membandingkan program2 nya dri program 02 aja byk yg ngerugiin rakyat, mulai dri naikin gaji pejabat, dana makan siang gratis yg potong subsidi bbm sama BOS, prioritas IKN, 300 FK",0,1,0,1,in,"1,19463E+18","1,7683E+18",whereisglasses,https://twitter.com/whereisglasses/status/1768453286016045524,,,,
22,Fri Mar 15 00:48:33 +0000 2024,"1,76844E+18","@ownerradikal1 Paling dikasih beras 5 kg, lgsg memuja muji program ikn",0,0,0,0,in,550912850,"1,7682E+18",songohan141,https://twitter.com/songohan141/status/1768439105812414584,,,,
23,Thu Mar 14 22:53:45 +0000 2024,"1,76841E+18","Terkait adanya rencana peningkatan belanja negara ini, ada kaitannya sama program dia di masa depan, yaitu makan siang gratis.   (sebenernya ikn pun bakal ambil sebagian dana APBN kita sih wkwkkw)",0,1,0,0,in,"1,48012E+18","1,76841E+18",ativonmi,https://twitter.com/ativonmi/status/1768410214670475342,,,,
24,Thu Mar 14 21:46:09 +0000 2024,"1,76839E+18","@dipierro5986 @mediajelata @ARSIPAJA no.1 ga ush ditanggung, udh banyak org speak up soal ikn tuh salah satu program keberlanjutan, dibahas pula d debat. kl mereka gatau ya salah sendiri ga mencari tau/tutup telinga.  no.2 lucu kl pun iya manipulasi hrsnya udah byk yang protes dr kemarin2, krn %nya cukup besar",0,0,1,6,in,"1,11925E+18","1,76819E+18",udahbukanaku,https://twitter.com/udahbukanaku/status/1768393201596166164,,,,
